Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
আইনের অনুশাসন বলতে প্রধান কয়টি ধারণাকে বুঝায়?,Politics,3,3,দুইটি,তিনটি,চারটি,পাঁচটি,B
নিজের গোত্রের বাইরে বিয়ে করে গঠিত পরিবার কোনটি?,Social,3,3,অন্তর্গোত্রে বিবাহভিত্তিক,বহির্গোত্র বিবাহভিত্তিক,বহুপতি,নয়াবাস,B
‘Mappa’ কোন ভাষা থেকে এসেছে?,History,3,3,ল্যাটিন,ফরাসি,ইংরেজি,গ্রিক,A
বাংলাদেশের শিপিং কর্পোরেশন কত সালে প্রতিষ্ঠিত হয়?,Economics,3,2,1979,1977,1974,1972,D
পুকুরে নতুন কীটপতঙ্গ জন্মালে কী হয়?,Geography,3,3,পানি দুর্গন্ধ হবে,মাছের খাদ্য কমবে,পানিতে অক্সিজেন হ্রাস পাবে,পানি দূষণ হবে,C
"মানুষের জন্ম।,কর্মময় জীবন এবং শেষ পরিনতি পরিবারেই সম্পন্ন হয়। এখানে পরিবারের কোন বৈশিষ্ট্য ফুটে উঠেছে?",Social,2,2,পারিবারিক রীতিনীতি,পারিবারিক বন্ধন,জীবনের ধারা,জীবনের পরিনতি,B
কোন যুদ্ধের ফলে ইংরেজরা বাংলায় একচেটিয়া ব্যবসা করার অধিকার লাভ করে?;,History,2,1,বক্সারের যুদ্ধ,শতবর্ষ যুদ্ধ,পলাশীর যুদ্ধ,পর্তুগিজদের যুদ্ধ,C
আওয়ামী লীগ প্রতিষ্ঠিত হয় কত সালে?,History,1,2,1949,1947,1948,1946,A
বাংলাদেশে মেঘনা বিধৌত অঞ্চল কত বর্গকিলোমিটার?,Geography,2,2,29000,30000,29785,30775,C
প্রাচীন গ্রিস কীভাবে গঠিত ছিল?;,History,2,3,বড় বড় রাষ্ট্র নিয়ে,ছোট ছোট রাষ্ট্র নিয়ে,অগণতান্ত্রিক রাষ্ট্র নিয়ে,ছোট ছোট প্রদেশ নিয়ে,B
উপজেলার শাসন ব্যবস্থা ও শান্তিশৃঙ্খলার কাজ দেখাশুনা করেন কে?,Politics,2,2,জেলা প্রশাসক,উপজেলা নির্বাহী অফিসার,বিভাগীয় কমিশনার,অতিরিক্ত জেলা প্রশাসক,B
কেন্দ্রীয় ব্যাংকের কাজ হলো- i. ঋন নিয়ন্ত্রণ করা ii. নিকাশ ঘর হিসেবে কাজ করা iii. বিনিময়ের মাধ্যম সৃষ্টি করা নিচের কোনটি সঠিক?,Economics,5,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
দ্বিকক্ষবিশিষ্ট আইনসভায় কোন ধরনের পরিষদ থাকে?,Politics,3,3,উচ্চ ও মধ্য,উচ্চ ও নিম্ন,নিম্ন ও মধ্য,বড় ও ছোট,B
২০১১-১২ সালের হিসাব অনুযায়ী বাংলাদেশের জনসংখ্যার ঘনত্ব প্রতি বর্গকিলোমিটারে কত জন?,Geography,3,2,954,1015,974,864,B
‘যে ব্যক্তি রাষ্ট্রের সুযোগ-সুবিধা গ্রহণ করে এবং রাষ্ট্রের প্রতি আনুগত্য স্বীকার করে তাকেই নাগরিক বলা হয়’ - উক্তিটি কার?,Politics,2,3,এরিস্টটলের,লাস্কির,গার্নারের,ম্যাকাইভারের,B
ব্রিটিশদের কোন নীতির কারণে এদেশের কৃষি ধ্বংস হয়?,History,3,3,ভূমি রাজস্ব নীতি,চার্টার নীতি,জন নীতি,খাদ্য সংরক্ষণ নীতি,A
‘তবকাত-ই-নাসিরী’ কার লেখা?,History,2,3,কলহনের,আবুল ফজলের,টয়েনবির,মিনহাজ-উস-সিরাজের,D
একসময় নারী কোন কাজের মধ্যেই শুধু সীমাবদ্ধ ছিল?,Social,1,1,শিক্ষকতা,গৃহস্থলি কাজ;,হাঁস-মুরগি পালন;,টেইলারিং,B
জাতীয় সংসদে কতজন সদস্য জনগণের প্রত্যক্ষ ভোটে নির্বাচিত হন?,Politics,2,1,300,350,360,400,A
আদালত কর্তৃক প্রদত্ত দণ্ডকে মওকুফ করতে পারেন-,Politics,3,1,রাষ্ট্রপতি,প্রধানমন্ত্রী,প্রধান বিচারপতি,স্পিকার,A
বাংলাদেশের প্রায় কত কিলোমিটার দীর্ঘ উপকূলীয় অঞ্চল রয়েছে?,Geography,3,3,716,869,756,861,C
হেলাল স্যার ২০২০ সালের ক্যালেন্ডারে লক্ষ্য করলেন ফেব্রুয়ারি মাসে ২৯ দিন রয়েছে। তাই এ সাল হলো-,Geography,4,3,Leep Year,Lip Year,Leap Year,Leaf Year,C
মোহাম্মদ আলী জিন্নাহ ঢাকা বিশ্ববিদ্যালয়ের সমাবর্তন অনুষ্ঠানে বক্তব্য দেওয়ার সময় ছাত্ররা না না ধ্বনি দিয়ে ওঠে কেন?,History,3,1,বাংলাকে একমাত্র রাষ্ট্রভাষা বলায়,বাংলা ও উর্দুকে রাষ্ট্রভাষা বলায়,উর্দুকে একমাত্র রাষ্ট্রভাষা বলায়,আরবিকে রাষ্ট্রভাষা বলায়,C
‘’হরিকেল ছিল পূর্ব ভারতের শেষ সীমায়।''- কে বলেছেন?,History,3,3,ইৎসিং,ভাস্কো-দা-গামা,ফা-হিয়েন,হিউয়েন সাং,A
"কত বছর বয়সে ঈশ্বরচন্দ্র বিদ্যাসাগর সংস্কৃত সাহিত্য, ব্যাকরণ, ন্যায়, বেদান্ত, স্মৃতি অলংকার ইত্যাদি বিষয়ে জ্ঞান অর্জন করেন?",History,2,3,18,19,20,21,D
মোট উপযোগ সর্বাধিক হলে প্রান্তিক উপযোগ কী হয়?,Economics,1,2,শূন্য,ধনাত্মক,ঋণাত্মক,স্থির থাকে,A
ইতিহাস পাঠ করলে কোনটির ক্ষমতা বৃদ্ধি পায়?,History,1,2,বিচার-বিশ্লেষণ করার,তর্ক করার,স্বপ্ন দেখার,পরিশ্রম করার,A
বঙ্গবন্ধু প্রধানমন্ত্রী হলে রাষ্ট্রপতি হিসেবে নিয়োগ পান কে?,Politics,2,2,মোহাম্মদ সায়েম,তাজউদ্দিন আহমদ,আবু সাঈদ চৌধুরী,জিয়াউর রহমান,C
চিরস্থায়ী বন্দোবস্তের ফলে-; i. জমিদারদের স্বার্থ সুরক্ষিত হয় ii. প্রজাদের স্বার্থ সুরক্ষিত হয় iii. জমিতে প্রজাদের বহু স্বত্ববিলোপ হয় নিচের কোনটি সঠিক?,History,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",B
কোন দেশের সাথে বাংলাদেশের বাণিজ্য সুবিধাজনক  অবস্থানে রয়েছে?,Economics,3,1,সৌদি আরব,জার্মানি,ভারত,জাপান,B
বাদ্যযন্ত্র হিসেবে ব্যবহার করা হতো-; i. মৃদঙ্গ ii. মাটির পাত্র iii. করতাল নিচের কোনটি সঠিক?,History,4,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
কোন মুদ্রা গ্রহণে কাউকে বাধ্য করা যায় না?,Economics,3,2,ব্যাংক হিসাব,বিহিত,কাগজি,হিসাবি,A
ইক্ষু চাষের জন্য কেমন ভূমি প্রয়োজন?,Geography,3,2,পাহাড়ি ভূমি,নিম্নভূমি,সমতলভূমি,ঢালু সমতল ভূমি,C
VAT আরোপ করা হয়- i. আমদানিকৃত দ্রব্যের ওপর ii. নির্ধারিত সেবাখাতের ওপর iii. স্থানীয়ভাবে উৎপাদিত দ্রব্যের ওপর নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",D
দলিলপত্র নিবন্ধনের জন্য কী দিতে হয়?,Law,4,1,ভ্যাট,কোর্ট টি,রেজিস্ট্রেশন ফি,ভূমি রাজস্ব,C
ভূমিকম্পের বিপজ্জনক বলয়ে অবস্থিত কোন জেলা?,Geography,3,3,ঢাকা,খুলনা,চট্রগ্রাম,বরিশাল,A
‘ভেটো’ বলতে কী বোঝ?,Politics,1,1,প্রস্তাব নাকচ করার ক্ষমতা,প্রস্তাব গ্রহণের ক্ষমতা,বিশেষ শক্তি,একটি বিশেষ চুক্তি,A
বাণিজ্যিক ব্যাংক কোন অর্থ ঋণ হিসেবে প্রদান করে?;,Economics,3,2,প্রাপ্ত অনুদান,জনসাধারণের গচ্ছিত অর্থ,সরকার প্রদত্ত অর্থ,;বাংলাদেশ ব্যাংক প্রদত্ত অর্থ,B
সমুদ্রের গভীরতা মাপা হয় কীসের সাহায্যে?,Geography,3,3,বেতার তরঙ্গ,ব্যারোমিটার,শব্দ তরঙ্গ,সেক্সট্যান্ট,C
“অনুন্নত দেশ হচ্ছে সেইসব দেশ যেগুলোতে জনসংখ্যা ও প্রাকৃতিক সম্পদের তুলনায় পুঁজি বা মূলধন কম”। উক্তিটি কার?,Economics,3,3,ম্যালথাস,কালমার্কস,ম্যাকাইভার,র‍্যাগনার নার্কস,D
ম্যারিয়ানা খাত কোন দ্বীপের নিকট অবস্থিত?,Geography,2,3,আলাস্কা,গুয়াম,শুন্ডা,পোর্টেরিকো,B
জাতীয় উৎপাদন পরিমাপ করা যায়- i.;উৎপাদিত দ্রব্যসামগ্রী ও সেবা হিসেবে ii.;উৎপাদনের উপকরণের অর্জিত আয় হিসেবে iii.;সমাজের মোট ব্যয় হিসেবে নিচের কোনটি সঠিক?,Economics,4,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
জনাব শফিক একজন রপ্তানিকারক। তিনি জাপানে তৈরি পোশাক রপ্তানি করেন। বাংলাদেশ সরকার তার কাছ থেকে যে কর আদায় করে সেটি হচ্ছে-,Economics,4,2,বাণিজ্য শুল্ক,আবগারি শুল্ক,মূল্য সংযোজন কর,;সম্পূরক শুল্ক,A
দিনের ও রাতের আলোর বিশেষ তারতম্য থাকে না কোন গ্রহের?,Geography,3,3,মঙ্গল,শুক্র,শনি,বুধ,B
খ্রিষ্টান মিশনারিদের প্রতিষ্ঠিত আধুনিক শিক্ষার ভাবধারা প্রসারে উল্লেখযোগ্য ভূমিকা রেখেছিল কোনটি?,History,3,3,ছাপাখানা,মাদ্রাসা,বিশ্ববিদ্যালয়,কাগজ শিল্প,A
স্থানীয় শাসনব্যবস্থা গড়ে ওঠার কারণ কী?;,Politics,3,2,জনমত গঠন করা,রাষ্ট্রের শাসন পরিচালনা করা,আইন প্রণয়ন করা,জাতীয় সংসদ গঠন করা,B
বাংলাদেশে প্রায়ই সংঘটিত প্রচণ্ড শক্তিশালী ও মারাত্মক ধ্বংসকারী প্রাকৃতিক দুর্যোগ কোনটি?,Geography,1,1,খরা,ঘূর্ণিঝড়,বন্যা,ভূমিকম্প,B
বাজারের ধারণায় মৌলিক বিষয় হলো- i. চাহিদা ii. যোগান iii. সময় নিচের কোনটি সঠিক?,Economics,3,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
ধাতব খন্ড দ্বারা তৈরি যে মুদ্রার মাধ্যমে মানুষ প্রত্যাহার জীবনের লেনদেন করে তাকে কী বলে?,Economics,3,1,ধাতব মুদ্রা,অর্থ,বিহিত মুদ্রা,প্রামাণিক মুদ্রা,A
যুক্তফ্রন্ট কয় সদস্য বিশিষ্ট মন্ত্রিসভা গঠন করা হয়?,History,2,2,10,12,14,18,C
"সংসদ সরকারের যেকোনো ভালো কাজের যেমন প্রশংসা করতে পারে, তেমনি সরকারের যেকোনো মন্দ কাজের সমালোচনাও করতে পারে। এর যথার্থ কারণ কী?",Politics,3,1,সরকারকে সংসদের কাছে জবাবদিহি করতে হয়,সরকার গঠনে সংসদের ভূমিকা রয়েছে,সংসদে আইন প্রণীত হয়,জনগণই আইনের উৎস,A
উচ্চ আয়ের দেশসমূহ উন্নত হওয়ার কারণ কী?,Economics,2,2,দক্ষ শ্রমশক্তি;,শতকরা শিক্ষিত জনগণ,সামাজিক সচেতনতা,আর্থিক প্রতিষ্ঠান বেশি,A
ভূগোলের কোন শাখায় ক্ষয়ীভবন সম্পর্কে আলোচনা করা হয়?,Geography,3,3,ভূমিরুপ বিদ্যা,মৃত্তিকা বিদ্যা,জলবায়ু বিদ্যা,নগর বিদ্যা,A
কোনো দ্রব্য ভোগ করার জন্য যে ব্যক্তি অর্থ ব্যয় করতে প্রস্তুত থাকে তাকে কী বলে?,Economics,3,1,উৎপাদক,ভোক্তা,বিক্রেতা,ক্রেতা,B
তথ্য অধিকার আইনের মাধ্যমে উন্নয়ন নিশ্চিত করা যাবে - i. প্রান্তিক মানুষের ii. সুবিধাবঞ্চিত মানুষের iii. অসুস্থ মানুষের নিচের কোনটি সঠিক?,Law,3,4,i ও ii,ii ও iii,i ও iii,"i, ii ও iii",A
মুজিবনগর সরকারের সদর দপ্তর কোলকাতায় স্থানান্তরিত করা হয় কেন?   ,History,2,2,ভারত সরকারের আমন্ত্রণে,পাক বাহিনীর হামলা থেকে রক্ষা পেতে,সোভিয়েত ইউনিয়নের পরামর্শে,শেখ মুজিবুর রহমানের নির্দেশে,B
উৎপাদনের বিভিন্ন স্তরে সংযোজিত মূল্যের ওপর আরোপিত কর কে কি বলা হয়?,Economics,2,1,আয়কর,VAT,আবগারি শুল্ক;,সম্পূরক শুল্ক,B
অর্থ ও ঋণের ব্যবসা কিসের মাধ্যমে হয়ে থাকে?,Economics,2,2,দ্রব্যের,স্বর্ণের,আর্থিক প্রতিষ্ঠান,শিল্পের,C
যুদ্ধ ঘোষণা ও আন্তর্জাতিক চুক্তি অনুমোদন করার ক্ষমতা কার আছে?,Politics,3,3,প্রধানমন্ত্রীর,রাষ্ট্রপতির,জাতীয় সংসদের,মন্ত্রিসভার,C
বাংলাদেশের উষ্ণ জলবায়ু ছেলেমেয়েদের ওপর কী প্রভাব ফেলেছে?,Geography,2,2,ইতিবাচক প্রভাব ফেলে,স্মৃতিশক্তি লোপ পায়,স্বাস্থ্যহীনতা বৃদ্ধি পায়,অপেক্ষাকৃত কম বয়সে সাবালক হয়,D
তাম্রশাসন বলতে কী বোঝায়?,History,2,3,লোহার পাতে খোদাই করা রাজার নির্দেশ,সিসার পাতে খোদাই করা রাজার ঘোষণা,তামার পাতে খোদাই করা রাজার নির্দেশ,রাজ্যে তাম্রমুদ্রার ব্যবহার,C
রাষ্ট্র সম্পর্কে যথার্থ বক্তব্য হচ্ছে-  i. রাষ্ট্র পূর্ণাঙ্গ ও স্থায়ী প্রতিষ্ঠান ii. রাষ্ট্র সার্বভৌম বা সর্বোচ্চ ক্ষমতার অধিকারী iii. রাষ্ট্র একটি বিমূর্ত ধারণা নিচের কোনটি সঠিক?,Politics,3,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
গণতন্ত্রে সরকার গঠন করে কে?,Politics,1,1,প্রধান বিচারপতি,নির্বাচিত প্রার্থী,তত্ত্বাবধায়ক সরকার,জনগণ,D
নিচের কোন কাজের ক্ষেত্রে 'জিআইএস' প্রযোজ্য?,Geography,3,3,আঞ্চলিক গবেষণায়,জাতীয় আয় বৃদ্ধিতে,জনসংখ্যা গণনায়,তথ্য ব্যবস্থাপনায়,A
শিল্পকারখানাগুলোকে কেন্দ্র করে গড়ে ওঠে- i. প্রস্তুতকারী শহর ii. প্রথম পর্যায়ের উৎপাদন কেন্দ্র iii. দ্বিতীয় পর্যায়ের উৎপাদন কেন্দ্র  নিচের কোনটি সঠিক?,Economics,3,4,"i, ii ও iii",i ও iii,ii ও iii,i ও ii,B
জিসান প্রতিবন্ধী হলেও প্রচুর টাকা উপার্জন করে। সে বার্ষিক কত টাকার অধিক উপার্জন করলে তাকে আয়কর দিতে হবে?,Economics,2,2,"১,৭৫,০০০","২,০০,০০০","২,২৫,০০০","৩,৭৫,০০০",D
কোন অর্থনৈতিক ব্যবস্থায় শ্রমিক শোষণ হয়?,Economics,3,3,মিশ্র,ইসলামি,ধনতান্ত্রিক,সমাজতান্ত্রিক,C
ব্যক্তিগত আয়ের উপর ধার্যকৃত করকে কী বলে?,Economics,1,1,আয়কর,ব্যক্তিগত কর,আবগারি কর,মূল্য সংযোজন কর,A
‘ইতিহ’ শব্দের অর্থ কী?,History,2,3,গল্পকাহিনী,ইতিহ,ঐতিহ্য,সংস্কৃতি,C
আমাদের দেশের কত ভাগ মানুষ দারিদ্র্যসীমার নিচে বাস করে?,Economics,2,2,31.5,30.5,31.9,32.5,A
সূর্য থেকে পৃথিবীতে আলো আসতে কত মিনিট সময় লাগে?,Geography,1,2,৮ মিনিট ২৯ সেকেন্ড,৮ মিনিট ১৯ সেকেন্ড,১১ মিনিট ১৯ সেকেন্ড,১৩ মিনিট ১৯ সেকেন্ড,B
"ব্রিটিশরা নীল চাষে আগ্রহী হয়, কারণ- i. লাভজনক ব্যবসা ii. নীলের চাহিদা প্রচুর iii. কৃষকদের প্রচুর লাভের জন্য নিচের কোনটি সঠিক?",History,3,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
সামাজিক পরিবর্তনের বিশেষ উপদান কী?,Social,2,2,শিক্ষা,যোগাযোগ,প্রযুক্তি,নগরায়ন,A
দ্বিতীয় বিশ্বযুদ্ধের ভয়াবহতা বিশ্ব নেতাদের মনে জাগ্রত করে i. আতঙ্ক ii. শান্তি প্রতিষ্ঠার প্রয়োজনীয়তা iii. যুবকদের হারানোর ভবিষ্যৎ পরিণতি নিচের কোনটি সঠিক?,History,3,4,i  ও ii,i  ও iii,ii ও iii,"i, ii ও iii",D
ব্যাংক কিসের উপর ভিত্তি করে টিকে থাকে?,Economics,2,1,সুদ,ঋণ,মুনাফা,আমানত,C
মায়ানমারে বর্ষাকাল- i. মে থেকে অক্টোবর পর্যন্ত ii. দক্ষণি-পশ্চিম মৌসুমি বায়ুর প্রভাবাধীন iii. ঝড়ঝঞ্ঝাপূর্ণ নিচের কোনটি সঠিক?;,Geography,3,5,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
মোট উৎপাদনের পরিমাণকে মোট উপকরণ বা উপাদান দিয়ে ভাগ করলে কী পাওয়া যায়?,Economics,2,1,প্রান্তিক উৎপাদন,গড় উৎপাদন,ক্ষুদ্র উৎপাদন,মোট খরচ,B
ক্ষুদ্র শিল্পের আওতাভুক্ত হলো- i. তাঁত শিল্প  ii. বেকারি কারখানা  iii. ডেইরি ফার্ম নিচের কোনটি সঠিক?,Economics,3,4,ii ও iii,i ও ii,i ও iii,"i, ii ও iii",D
১৯৭১ সালের পূর্বে বাংলাদেশ রাষ্ট্র গঠন করতে পারেনি কোন কারণে?,History,2,2,জনসংখ্যার অভাব ছিল,নির্দিষ্ট ভূখন্ড ছিল না,সার্বভৌমত্ব ছিল না,প্রশাসনিক ক্ষমতা ছিল না বলে,C
সমাজ সর্বদা কীসের দিকে ধাবিত হয়?;,Social,1,1,অতীত,প্রগতি,অবনতি,অজানা,B
বিচারপতি আব্দুস সাত্তার কোথাকার বিচারপতি ছিলেন?,Law,2,1,সুপ্রিম কোর্ট,হাইকোর্ট,জজকোর্ট,সাধারণ কোর্ট,A
রাজা রাজবল্লভের পুত্রের নাম কী? ;,History,1,2,কৃষ্ণদাস,মীরজাফর,মোহনলাল,শওকত জঙ্গ,A
ইংরেজরা কোন জিনিসটি নিজেদের কুক্ষিগত করে রেখেছিল?,History,1,3,জমিদারি প্রথা,ব্যবসা-বাণিজ্য,প্রশাসনিক ব্যবস্থা,খাজনা আদায়,B
ভারতবর্ষ কত থেকে কত সাল পর্যন্ত ব্রিটিশ শাসনের অধীনে ছিল?,History,1,2,১৭৫৬ থেকে ১৯৪৬,১৭৫৭ থেকে ১৯৪৭,১৭৫৮ থেকে ১৯৪৫,১৭৫৫ থেকে ১৯৪৭,B
মধুপুর ও ভাওয়ালের গড় কোন ভূ-প্রাকৃতিক অঞ্চলের অন্তর্ভুক্ত?,Geography,1,3,প্লাইস্টোসিন কালের সোপানভূমি,সাম্প্রতিককালের প্লাবন সমভূমি,প্লাবন সমভূমি,টারশিয়ারি,A
ইলিয়াস শাহ কত সালে বাংলায় তিনটি কেন্দ্রকে একত্র করে স্বাধীন বাংলা প্রতিষ্ঠা করেন?;,History,2,3,1340,1342,1350,1352,D
পলাশী যুদ্ধের ফলাফলে যা ঘটে-; i. বাংলায় প্রত্যক্ষ-ঔপনিবেশিক শাসনের পথ সুগম হয় ii. ইংরেজরা বাংলায় একচেটিয়া ব্যবসা-বাণিজ্যের অধিকার লাভ করে iii. ফরাসিরা এদেশ থেকে বিদায় নিতে বাধ্য হয় নিচের কোনটি সঠিক?,History,2,2,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বাংলাদেশ সরকার জাতীয় সংসদ নির্বাচনের জন্য কী গঠন করেছে?,Law,1,1,বিচার বিভাগ,আইন বিভাগ,নির্বাচন কমিশন,শাসন বিভাগ,C
প্রাচীন বাংলার কত গজ মসলিন একটি নস্যের কৌটায় ভরা যেত?,History,1,3,18,19,20,21,C
মুক্তিযুদ্ধের উপদেষ্টা কমিটিতে সদস্য ছিলেন-,History,1,3,অধ্যাপক মোজাফফর আহমেদ,সৈয়দ নজরুল ইসলাম,এম. মনসুর আলী,এম. কামারুজ্জামান,A
বাংলাদেশে পাট চাষ কমিয়ে ধান চাষে ভূমি অধিক ব্যবহৃত হচ্ছে। এক্ষেত্রে জিডিপি-এর কোন নির্ধারকটি ভূমিকা রাখছে?,Economics,1,2,সচলতা,শ্রম,মুলধন,প্রযুক্তি,A
সুদের হারের পার্থক্যকে ব্যাংকের কী বলে?,Economics,1,1,ঋণ,উৎপাদন,সুদ,মুনাফা,D
কোন সংস্থা যাত্রীবাহী জলযানের ব্যবস্থা করে থাকে?,Politics,2,1,আই ডব্লিউ টি এ,বি আই ডব্লিউ টি এ,বি আর টি সি,বি আর টি এ,B
কোনটি ১° কোণে সমুদ্র তলদেশে নিমজ্জিত থাকে?,Geography,2,2,মহীঢাল,গভীর সমুদ্রের সমভূমি,মহীসোপান,গভীর সমুদ্রখাত,C
কারা ক্ষমতা ধরে রাখতে বিভিন্ন কৌশল অবলম্বন করে?,History,3,1,ভারত সরকার,পাকিস্তান সরকার,ব্রিটিশ সরকার,পূর্ব পাকিস্তান সরকার,B
উপজেলা পরিষদের জন্য কত সদস্যের চেয়ারম্যান প্যানেল থাকবে?,Politics,3,2,2,4,3,5,C
কোনো দেশ কৃষিপ্রধান অর্থনীতি থেকে শিল্পপ্রধান অর্থনীতিতে রূপান্তরিত হয়েছে। দেশটিতে কোন পরিবর্তন এসেছে?;,Economics,2,3,অর্থনৈতিক;,কাঠামোগত,প্রকৃতিগত;,সামাজিক,C
নিচের কোন রাষ্ট্র জাতিসংঘের নিরাপত্তা পরিষদের স্থায়ী সদস্য নয়?,Politics,2,3,চীন,জার্মানি,ফ্রান্স,রাশিয়া,B
চূড়ান্ত দ্রব্য হলো- i. গম ii. রুটি iii. আটা নিচের কোনটি সঠিক?,Economics,2,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",C
আয় বন্টনের ক্ষেত্রে বাংলাদেশে কোন অর্থনৈতিক ব্যবস্থা প্রচলিত?,Economics,2,2,ইসলামি,ধনতান্ত্রিক,সমাজতান্ত্রিক,মিশ্র,B
‘সংকর-জন’ হিসেবে পরিচিত কারা?;,History,2,3,আর্যরা,ক্ষত্রিয়রা,বাঙালিরা,অস্ট্রিকরা,C
রাষ্ট্রভাষা সংগ্রাম পরিষদের ডাকা ধর্মঘটে কোন স্লোগানসহ মিছিল করা হয়?,History,2,3,মাতৃভাষা বাংলা চাই,সবার ভাষা বাংলা চাই,মুখের ভাষা বাংলা চাই,রাষ্ট্রভাষা বাংলা চাই,D
উপজেলা পরিষদের কার‌্যাবলি হলো-; i. প্রশাসন ও সংস্থাপন বিষয়াদি পরিচালনা ii. পাঁচশালা ও বিভিন্ন মেয়াদি উন্নয়ন পরিকল্পনা iii. ক্ষুদ্রঋণ প্রদান করা নিচের কোনটি সঠিক?,Politics,3,4,i ও ;ii,i ও ;iii,ii ও ;iii,"i, ii ও iii",A
"অর্থনীতিবিদ মামা ভাগ্নেকে একটি উৎপাদনের উদাহরণ দিলেন। উদাহরণটি হলো তুলা থেকে সুতা, সুতা থেকে কাপড় এবং কাপড় থেকে শার্ট উৎপাদন করা হয়। এভাবে উৎপাদন সম্পন্ন হয়। এখানে শার্ট; কোন ধরনের পণ্যের সঙ্গে সাদৃশ্যপূর্ণ?",Economics,2,3,প্রাথমিক দ্রব্য;,মাধ্যমিক দ্রব্য,চূড়ান্ত দ্রব্য,উৎকৃষ্ট দ্রব্য,C
অসিত পাল ধনী এবং বাদল গরিব। অপরাধ করার ফলে তাদের একই মেয়াদে শাস্তি হয়। আইনের কোন বৈশিষ্ট্যটি এখানে ফুটে উঠেছে?;,Law,4,4,বৈষম্য,বৈসাদৃশ্য,সর্বজনীনতা,বাহ্যিক আচরণ,C
বঙ্গবন্ধু কৃষিব্যবস্থার উন্নয়নের জন্য-  i. ২৫ বিঘা পর্যন্ত জমির খাজনা মওকুফ করেন ii. সর্বাধিক ১০০ বিঘা পর্যন্ত জমির মালিকানা নির্ধারণ করেন iii. দুই থেকে আড়াই লক্ষ টন খাদ্য নিচের কোনটি সঠিক?,History,3,3,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
বাংলাদেশ সরকারের আয়ের উৎসগুলোকে কয়ভাগে ভাগ করা যায়?,Economics,2,3,2,11,12,15,A
ইংরেজ বণিকদেরকে উপমহাদেশে ব্যবসা- বাণিজ্যে উৎসাহিত করে যে কাজটি -; i. প্রাচ্যের ধন-সম্পদের প্রাচুর্য ii. সমুদ্র পথে ইউরোপীয় বণিকদের সাফল্য iii. আরবদের অভাবনীয় উন্নতি নিচের কোনটি সঠিক?,History,3,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
"স্বদেশী আন্দোলনের ফলাফল ছিল-     i. এ আন্দোলন ব্রিটিশবিরোধী ও স্বাধীনতা আন্দোলনের সূচনা করে ii. এ আন্দোলন দেশীয় ভাষা, শিক্ষা ও সাহিত্যচর্চায় উৎসাহ আনয়ন করে iii. এ আন্দোলন হিন্দু-মুসলিম সম্পর্কে নতুন মাত্রা যোগ করে নিচের কোনটি সঠিক?",History,3,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",A
"যে প্রক্রিয়ায় বিভিন্নভাবে ক্রেতা-বিক্রেতার মধ্যে দ্রব্য বা সেবা কেনা-বেচা হয়, তাকে কী বলে?",Economics,1,3,বাজার,শিল্প,ফার্ম,বিনিয়োগ,A
নগরায়ন কী?,Social,1,2,গ্রামীণ জীবন ছেড়ে নগর জীবন গ্রহন প্রক্রিয়া,শিল্প সম্প্রসারণের ধারাবাহিক উপায়,নগর সভ্যতা গড়ে তোলার পদ্ধতি,অর্থনৈতিক ও সামাজিক উন্নয়ন প্রক্রিয়া,C
শিশুর অন্যতম শিক্ষাকেন্দ্র কোনটি?,Social,1,1,বিদ্যালয়,সমাজ,পরিবার;,মসজিদ;,C
উন্নয়নের মাত্রার ভিত্তিতে বিশ্বের দেশসমূহকে কয়টি ভাগে ভাগ করা যায়?;,Economics,2,3,3,4,5,6,A
পর্তুগিজরা উপমহাদেশে কুঠি স্থাপন করে- i. কালিকটে ii. বাঁকুড়ায় iii. কাশিমবাজারে নিচের কোনটি সঠিক?,History,3,4,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",D
ময়নামতি কোথায় অবস্থিত?,Geography,1,1,রাজশাহী,কুমিল্লা,নটোর,বগুড়া,B
বিরোধীদল কীভাবে সংসদকে কার্যকর করে?,Politics,1,2,সংসদ অধিবেশনে উপস্থিত থেকে,মিছিল-মিটিং করে,সংসদে বিতর্ক সৃষ্টি করে,নিজেদের সমালোচনা করে,C
অর্থ কিরূপে সঞ্চয়ের কাজ করে?,Economics,1,2,বাহন হিসেবে,পরিবহন হিসেবে,টাকা গচ্ছিত রেখে,সঞ্চালন হিসেবে,A
